#TrigId,#TrigTime,#Col,#Row,#ToA,#ToT[arb],#ToTtotal[arb],#Trig-ToA[arb],#Centroid,#cent_X,#cent_Y,#centStdev_X,#centStdev_Y,#centStdev_ToA,
1,1822443162581,123,195,1839573103360,1350,1350,17129940779,1,123.500000,195.500000,0.500000,0.500000,0,
1,1822443162581,148,147,1839640372224,250,250,17197209643,1,148.500000,147.500000,0.500000,0.500000,0,
1,1822443162581,148,170,1839733400832,50,50,17290238251,1,148.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,124,174,1839889011712,175,175,17445849131,1,124.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,157,188,1839962516480,200,200,17519353899,1,157.500000,188.500000,0.500000,0.500000,0,
1,1822443162581,178,186,1839997795584,175,175,17554633003,1,178.500000,186.500000,0.500000,0.500000,0,
1,1822443162581,166,175,1840014635776,1575,2300,17571473195,2,166.500000,175.184783,0.500000,0.682536,256,
1,1822443162581,125,175,1840024312576,225,225,17581149995,1,125.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,143,184,1840041462528,200,200,17598299947,1,143.500000,184.500000,0.500000,0.500000,0,
1,1822443162581,173,152,1840170934272,125,125,17727771691,1,173.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,178,159,1840225903872,50,50,17782741291,1,178.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,123,187,1840240982272,50,50,17797819691,1,123.500000,187.500000,0.500000,0.500000,0,
1,1822443162581,150,157,1840259138048,300,300,17815975467,1,150.500000,157.500000,0.500000,0.500000,0,
1,1822443162581,123,178,1840277297152,25,25,17834134571,1,123.500000,178.500000,0.500000,0.500000,0,
1,1822443162581,172,187,1840305490944,50,50,17862328363,1,172.500000,187.500000,0.500000,0.500000,0,
1,1822443162581,167,141,1840351091968,250,250,17907929387,1,167.500000,141.500000,0.500000,0.500000,0,
1,1822443162581,162,175,1840403716864,300,300,17960554283,1,162.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,171,160,1840431007488,250,250,17987844907,1,171.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,163,143,1840478739200,2200,4350,18035576619,2,163.994253,143.500000,0.707083,0.500000,0,
1,1822443162581,163,158,1840478739200,1200,3625,18035576619,6,163.389655,158.244828,0.624138,1.125898,3126,
1,1822443162581,165,141,1840528707584,75,75,18085545003,1,165.500000,141.500000,0.500000,0.500000,0,
1,1822443162581,156,140,1840555494400,75,75,18112331819,1,156.500000,140.500000,0.500000,0.500000,0,
1,1822443162581,176,156,1840712920064,75,75,18269757483,1,176.500000,156.500000,0.500000,0.500000,0,
1,1822443162581,175,162,1840715335424,150,150,18272172843,1,175.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,149,162,1840767615744,1000,8075,18324453163,11,149.756966,162.465944,0.700336,2.192992,1374,
1,1822443162581,136,155,1840769892096,125,125,18326729515,1,136.500000,155.500000,0.500000,0.500000,0,
1,1822443162581,145,147,1840810265856,150,150,18367103275,1,145.500000,147.500000,0.500000,0.500000,0,
1,1822443162581,164,156,1840910193152,125,125,18467030571,1,164.500000,156.500000,0.500000,0.500000,0,
1,1822443162581,131,162,1840917860352,325,325,18474697771,1,131.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,159,171,1840948741632,125,125,18505579051,1,159.500000,171.500000,0.500000,0.500000,0,
1,1822443162581,147,197,1840967355392,2350,4375,18524192811,4,147.882857,197.357143,0.697336,0.610286,332,
1,1822443162581,147,183,1840973394176,225,225,18530231595,1,147.500000,183.500000,0.500000,0.500000,0,
1,1822443162581,159,175,1841025644288,4300,4550,18582481707,2,159.500000,175.445055,0.500000,0.549478,640,
1,1822443162581,127,160,1841055567104,50,50,18612404523,1,127.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,154,174,1841108649216,3175,3175,18665486635,1,154.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,167,165,1841127613952,75,75,18684451371,1,167.500000,165.500000,0.500000,0.500000,0,
1,1822443162581,174,177,1841163902976,225,225,18720740395,1,174.500000,177.500000,0.500000,0.500000,0,
1,1822443162581,149,176,1841379407616,2725,2875,18936245035,2,149.552174,176.500000,0.547222,0.500000,2048,
1,1822443162581,179,175,1841608227840,125,125,19165065259,1,179.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,172,149,1841639982080,250,250,19196819499,1,172.500000,149.500000,0.500000,0.500000,0,
1,1822443162581,178,169,1841654432512,250,250,19211269931,1,178.500000,169.500000,0.500000,0.500000,0,
1,1822443162581,131,154,1841744346624,575,3575,19301184043,5,131.339161,154.367133,1.276607,0.861879,161,
1,1822443162581,141,172,1841744412928,175,175,19301250347,1,141.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,167,167,1841763376128,250,250,19320213547,1,167.500000,167.500000,0.500000,0.500000,0,
1,1822443162581,125,159,1842011028736,300,300,19567866155,1,125.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,151,153,1842071938560,275,275,19628775979,1,151.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,170,174,1842132256512,250,250,19689093931,1,170.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,161,159,1842264366336,50,50,19821203755,1,161.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,176,170,1842286135552,150,150,19842972971,1,176.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,173,179,1842351699968,2175,8175,19908537387,3,173.230887,179.500000,0.954737,0.500000,120,
1,1822443162581,170,167,1842403072256,200,200,19959909675,1,170.500000,167.500000,0.500000,0.500000,0,
1,1822443162581,176,168,1842524030208,225,225,20080867627,1,176.500000,168.500000,0.500000,0.500000,0,
1,1822443162581,164,158,1842710160896,2300,10275,20266998315,8,164.840633,158.273723,0.688914,1.114717,502,
1,1822443162581,153,141,1842725783552,375,375,20282620971,1,153.500000,141.500000,0.500000,0.500000,0,
1,1822443162581,139,182,1842754800640,200,200,20311638059,1,139.500000,182.500000,0.500000,0.500000,0,
1,1822443162581,177,193,1842845832192,375,375,20402669611,1,177.500000,193.500000,0.500000,0.500000,0,
1,1822443162581,180,192,1842847351040,350,350,20404188459,1,180.500000,192.500000,0.500000,0.500000,0,
1,1822443162581,126,160,1842888606976,225,225,20445444395,1,126.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,139,166,1842906116096,225,225,20462953515,1,139.500000,166.500000,0.500000,0.500000,0,
1,1822443162581,174,145,1842916037632,250,250,20472875051,1,174.500000,145.500000,0.500000,0.500000,0,
1,1822443162581,129,164,1842945354240,125,125,20502191659,1,129.500000,164.500000,0.500000,0.500000,0,
1,1822443162581,125,172,1842951854336,175,175,20508691755,1,125.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,129,192,1843207352320,275,275,20764189739,1,129.500000,192.500000,0.500000,0.500000,0,
1,1822443162581,154,190,1843222384128,175,175,20779221547,1,154.500000,190.500000,0.500000,0.500000,0,
1,1822443162581,139,193,1843237903616,225,225,20794741035,1,139.500000,193.500000,0.500000,0.500000,0,
1,1822443162581,161,199,1843244599808,150,150,20801437227,1,161.500000,199.500000,0.500000,0.500000,0,
1,1822443162581,164,145,1843386595840,75,75,20943433259,1,164.500000,145.500000,0.500000,0.500000,0,
1,1822443162581,179,153,1843410052352,125,125,20966889771,1,179.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,151,167,1843410552064,1975,3400,20967389483,2,151.500000,167.919118,0.500000,0.702466,128,
1,1822443162581,173,150,1843471154944,25,25,21027992363,1,173.500000,150.500000,0.500000,0.500000,0,
1,1822443162581,159,187,1843482544128,100,100,21039381547,1,159.500000,187.500000,0.500000,0.500000,0,
1,1822443162581,150,156,1843498141696,50,50,21054979115,1,150.500000,156.500000,0.500000,0.500000,0,
1,1822443162581,155,154,1843543867392,175,175,21100704811,1,155.500000,154.500000,0.500000,0.500000,0,
1,1822443162581,159,159,1843574796800,175,175,21131634219,1,159.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,166,171,1843620516096,50,50,21177353515,1,166.500000,171.500000,0.500000,0.500000,0,
1,1822443162581,172,147,1843640419328,100,100,21197256747,1,172.500000,147.500000,0.500000,0.500000,0,
1,1822443162581,151,189,1843659718912,100,100,21216556331,1,151.500000,189.500000,0.500000,0.500000,0,
1,1822443162581,121,152,1843692440320,225,225,21249277739,1,121.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,154,157,1843700838144,250,250,21257675563,1,154.500000,157.500000,0.500000,0.500000,0,
1,1822443162581,170,186,1843743315200,125,125,21300152619,1,170.500000,186.500000,0.500000,0.500000,0,
1,1822443162581,143,196,1843746722048,350,350,21303559467,1,143.500000,196.500000,0.500000,0.500000,0,
1,1822443162581,168,171,1843775979776,250,250,21332817195,1,168.500000,171.500000,0.500000,0.500000,0,
1,1822443162581,170,189,1843788114432,100,100,21344951851,1,170.500000,189.500000,0.500000,0.500000,0,
1,1822443162581,149,193,1843801037056,150,150,21357874475,1,149.500000,193.500000,0.500000,0.500000,0,
1,1822443162581,153,186,1843811108096,25,25,21367945515,1,153.500000,186.500000,0.500000,0.500000,0,
1,1822443162581,167,150,1843823756032,250,250,21380593451,1,167.500000,150.500000,0.500000,0.500000,0,
1,1822443162581,178,170,1843845805824,125,125,21402643243,1,178.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,130,165,1843867472128,100,100,21424309547,1,130.500000,165.500000,0.500000,0.500000,0,
1,1822443162581,172,188,1843896057600,150,150,21452895019,1,172.500000,188.500000,0.500000,0.500000,0,
